,REF_BACEN,NU_ORDEM,DT_EMISSAO,DT_VENCIMENTO,CD_ESTADO,CD_EMPREENDIMENTO,idPrograma,idIrrigacao,CD_TIPO_AGRICULTURA,idCiclo,CD_TIPO_CULTIVO,idGrao,DT_FIM_COLHEITA,DT_FIM_PLANTIO,DT_INIC_COLHEITA,DT_INIC_PLANTIO,DT_COMUNICACAO,idCultivar,idSolo,idEvento
10721,513874725,1,20/05/2022,15/11/2022,PR,"1,20E+13",999.0,1.0,3.0,22.0,3.0,3.0,15/10/2022,06/07/2022,14/10/2022,06/06/2022,14/10/2022,1.0,3.0,17.0
10730,508915819,1,26/08/2019,13/10/2020,RS,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,20/04/2020,11/15/2019 ,15/03/2020,15/10/2019,09/04/2020,99.0,2.0,48.0
10741,508710633,1,26/07/2019,25/07/2020,RS,"1,20E+13",1.0,1.0,3.0,22.0,2.0,8.0,20/05/2020,01/10/2020,20/04/2020,15/12/2019,18/03/2020,5.0,2.0,48.0
10763,512342389,1,21/07/2021,10/05/2022,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,11/04/2022,09/30/2021 ,10/02/2022,15/08/2021,09/12/2021,99.0,3.0,48.0
10800,509945557,1,31/03/2020,15/01/2021,PR,"1,20E+13",1.0,1.0,3.0,22.0,3.0,3.0,17/10/2020,05/25/2020 ,07/10/2020,15/05/2020,15/09/2020,2.0,3.0,24.0
10802,511489052,1,25/01/2021,29/09/2021,PR,"1,20E+13",1.0,1.0,7.0,22.0,3.0,8.0,30/06/2021,02/28/2021 ,01/06/2021,01/02/2021,28/04/2021,1.0,3.0,48.0
10822,513137967,1,24/11/2021,10/07/2022,RS,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,10/04/2022,11/27/2021 ,25/03/2022,26/11/2021,31/03/2022,1.0,3.0,48.0
10835,512477755,1,06/08/2021,01/08/2022,SC,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,30/04/2022,10/30/2021 ,15/04/2022,10/10/2021,02/02/2022,99.0,2.0,48.0
10839,507295364,1,30/08/2018,15/08/2019,SC,"1,20E+13",1.0,1.0,3.0,22.0,0.0,0.0,,,,,29/11/2018,11.0,3.0,62.0
10840,507295364,1,30/08/2018,15/08/2019,SC,"1,20E+13",1.0,1.0,3.0,22.0,0.0,0.0,,,,,29/11/2018,11.0,3.0,31.0
10858,512248726,1,07/07/2021,15/05/2022,PR,"1,20E+13",1.0,1.0,7.0,22.0,3.0,3.0,16/02/2022,10/14/2021 ,03/02/2022,01/10/2021,31/12/2021,1.0,3.0,48.0
10873,508053839,1,18/02/2019,18/02/2020,PR,"1,20E+13",1.0,1.0,3.0,22.0,2.0,8.0,30/10/2019,06/30/2019 ,01/10/2019,11/05/2019,16/09/2019,1.0,3.0,48.0
